.provi04;
1000;beltran
100000;
10000000;
10028010;
10059001;BASQUETBALL MASCULINO
10066804;BOWLING GUADALAJ
10069703;ATLETISMO MARCHA
10069704;ATLETISMO MARCHA
10073802;ATLETISMO RELEVOS
10073803;ATLETISMO RELEVOS
10073804;ATLETISMO RELEVOS
10073805;ATLETISMO RELEVO
10073901;CANOTAJE MEXICO
10136010;
10404001;
10420301;
10460301;
107PS030;
11035710;
11036002;TIRO AL BLANCO
11065001;LIGA NACIONAL RUGBY
11505680;
12004901;TENIS
12021401;IMPLEMENTACION GIMNASIA 2012
12032809;PELOTA VASCA MEXICO
12045409;GIMNASIA FEMENINA
12055401;LIGA BASQUETBALL ACT 1 P 2012
12055402;LIGA BASQUETBALL ACT 2 P 2012
12058101;CICLISMO PARTICIPACION JJOO LONDRES 2012
12062511;TENIS DE CAMPO
12063301;(CICLISMO) APOYO A DEPORTISTA CARLOS OYARZUN
12065701;LIGA VOLEY
12065803;(TRIATLON) B.RIVEROS PARTE II ESPAãA
12068401;LIGA NACIONAL BALONMANO ACT 1
12070401;LIGA RUGBY
12071009;NATACION KK
12071101;Honorarios Head Coach Handball
12074601;(BOX) IMPLEMENTACI”N CEO
12075601;GIMNASIA ARTISTICA
12081301;(HOCKEY Y PATINAJE) TECNICOS 2012
12262475;
12628372;
12700000;
13000000;
13001800;
13004400;RUGBY
13006301;
13008370;
13008601;
13013501;
13014401;(BASQUETBOL) HEAD COACH 2013
13014501;(NATACION) KRISTEL KOBRICH TECNICO 2013
13014601;(HANDBALL) HEAD COACH 2013
13014701;(BOXEO) HEAD COACH 2013
13014801;(CANOTAJE) HEAD COACH 2013
13014901;(ESGRIMA) HEAD COACH 2013
13015001;(ESQUI NAUTICO) HEAD COACH 2013
13015101;(PESAS) HEAD COACH 2013
13015301;(RUGBY) HEAD COACH 2013
13015401;(NATACION) HEAD COACH 2013 GARIMALDI
13015402;(NATACION) HEAD COACH 2013 REGINO PEREZ
13015601;(TENIS DE CAMPO) HEAD COACH 2013
13015701;(VOLEIBOL) HEAD COACH 2013
13015801;(HOCKEY CESPED) HEAD COACH 2013
13015901;(SKI ALPINO) HEAD COACH 2013
13016001;(REMO) HEAD COACH 2013
13016101;(JUDO) HEAD COACH 2013
13016201;(GIMNASIA) KINESIOLOGO T. GONZALEZ 2013
13016301;(TIRO AL BLANCO) HEAD COACH 2013
13018001;(ADMINISTRACION) ADMINISTRACI”N 2013
13018201;SKI AD 2014 FRANCIA
13020001;(GIMNASIA)HEAD COACH 2013
13020102;(TIRO CON ARCO) HEAD COACH 2013
13020301;
13021001;(TECNICOS) AREA TECNICA 2013
13024310;
13027901;(VELA) HEAD COACH 2013
13028401;TENIS DE MESA AD 2013 ALEMANIA
13030101;(HANDABALL) MUNDIAL MADRID-SEVILLA-ESPAãA
13030102;(HANDBALL) PREPARATORIA SUDAMERICAMOS 2014
13030103;(HANDBALL) SUDAMERICANO FEMENINO MAR DEL PLATA
13030110;
13030301;(RUGBY) APOYO A DEPORTISTAS 2013
13030302;(RUGBY) AD 2013 ACT. 2
13030303;(RUGBY) AD 2013 ACT. 3
13030304;(RUGBY) AD 2013 ACT. 4
13030305;(RUGBY) AD 2013 ACT. 5
13030401;(PELOTA VASCA) AD 2013 TORNEO INTERNACIONAL TOLUCA -MEXICO
13030501;(BIATHLON) APOYO A DEPORTISTAS 2013
13031001;
13031201;(LUCHA) HEAD COACH 2013
13031301;(TENIS DE CAMPO) APOYO A DEPORTISTAS 2013
13031302;TENIS DE CAMPO AUSTRALIA
13031303;TENIS DE CAMPO SUB 14
13031304;TENIS  ECUADOR
13031305;TENIS BRASIL
13031306;TENIS  EEUU
13031307;TENIS ECUADOR
13031308;TENIS BRASIL
13031309;TENIS MEXICO ACT 9
13031310;TENIS PARAGUAY  ACT 10
13031311;TENIS PARAGUAY ACT 11
13031312;TENIS BELGICA ACT 12
13031313;TENIS EEUU ACT 13
13031314;TENIS EEUU ACT14
13031315;TENIS CLOMBIA ACT 15
13031316;TENIS HAITI ACT 16
13031317;TENIS ARGENTINA ACT 17
13032302;
13034601;LIGA MASCULINA BASQUETBALL 2012-2013 (COMPLEMENTARIOS 554)
13034610;TRANSPORTE LIGA LIBCENTRO
13035701;(BOXEO) APOYO DEPORTISTAS ACT 1 REP DOMINICANA - COLOMBIA
13036601;(JUDO) APOYO A DEPORTISTAS 2013
13036701;(LUCHA) APOYO A DEPORTISTAS 2013
13036801;(NATACION) APOYO DEPORTISTA 2013 ACT. 1 ARG
13036802;(NATACION) APOYO DEPORTISTA 2013 ACT-2 ESPAãA
13036803;(NATACION) APOYO DEPORTISTA ACT 3 CANADA -CUBA
13038702;
13039101;(ESGRIMA) FLORETE  FEMENINO PAISES BAJOS
13039102;(ESGRIMA) ESPADA FEMENINO ARGENTINA
13039103;ESGRIMA SABLE MIXTO ARGENTINA
13039104;EGRIMA ESPADA FEMENINO REINO UNIDO
13039105;ESGRIMA FLORETE FEMENINO
13039106;ESGRIMA ESPADA MASCULINO ALEMANIA ESLOVENIA
13040301;(BALONMANO) APOYO A DEPORTISTAS 2013
13040601;(VOLEY PLAYA) APOYO A DEPORTISTAS 2013
13040602;(VOLEY PLAYA) AD 2013 ACT. 2
13040603;(VOLEY PLAYA) AD 2013 ACT. 3
13040604;(VOLEY PLAYA) AD 2013 ACT. 4
13040605;(VOLEY PLAYA) AD 2013 ACT. 5
13040701;(VOLEIBOL PISO) APOYO A DEPORTISTAS 2013
13040702;(VOLEY PISO) AD 2013 ACT. 2
13041000;
13041001;(TIRO AL BLANCO) APOYO A DEPORTISTAS 2013
13041501;(PESAS) APOYO A DEPORTISTAS 2013
13041601;(PENTATHLON MODERNO) APOYO A DEPORTISTAS 2013
13041602;(PENTATLON MODERNO) AD 2013 ACT. 2
13042001;LIGA LIBCENTRO DE BASQUETBALL 2013
13042101;LIGA FEMENINA DE BASKETBALL 2013
13042102;LIGA FEMENINA DE BASKET 2013 PRODUCTO 2
13042201;(TENIS DE MESA) APOYO A DEPORTISTAS 2013
13042202;(TENIS MESA) AD 2013
13042501;(TAEKWONDO) AD 2013
13042510;TKD APOYO DEPORTISTAS 2013
13043301;
13044301;LIGA NACIONAL RUGBY 2013
13044302;LIGA NACIONAL RUGBY ITEM 2 TRASPORTE
13044303;LIGA NACIONAL RUGBY ACT 3, ALOJ Y ALIM
13044330;
13044801;(TIRO CON ARCO) APOYO A DEPORTISTAS 2013
13044802;(TIRO ARCO) AD 2013 ACT. 2
13044901;LIGA SEVEN DE RUGBY 2013
13044902;LIGA SEVEN RUGBY PRODUCTO 2 TRASLADOS
13045101;(RAQUTBOL) APOYO A DEPORTISTAS 2013
13045402;(PARALIMPICA) TENIS DE MESA CUBA
13045403;(PARALIMPICA) AD 2013 USA AUSTIN
13045404;(PARALIMPICA)  TENIS FRANCISCA MARDONES EEUU
13045406;(PARALIMPICA) FRANCISCA MARDONES EEUU
13045407;(PARALIMPICA) AD 2013 ACT 7 ARG
13045408;(PARALIMPICA)  ATLETISMO CRISTIAN VALENZUELA
13045409;(PARALIMPICA)  ATLETISMO INGLATERRA CRISTIAN VALENZUELA
13045410;(PARALIMPICA)  ATLETISMO FEM. Y MASC. COLOMBIA
13046301;ATLETISMO APOYO DEPORTISTA 2013
13046302;ATLETISMO ACT 2 EEUU
13046303;ATLETISMO ACT 3 MEXICO
13046304;ATLETISMO ACT 4 EEUU
13046305;ATLETISMO ACT 5 VALPARAISO
13046306;ATLETISMO ACT 6 PTO MONTT
13046307;ATLETISMO ACT 7
13046308;ATLETISMO ACT 8 AUSTRALIA
13046309;ATLETISMO ACT 9  EEUU
13047501;LIGA NACIONAL DE VOLEIBOL MENORES LINAME
13047502;LIGA VOLLEY LINAME PRODUCTO 2, VIATICOS
13048301;(BOWLING) APOYO DEPORTISTAS 2013 ARGENTINA
13048501;(CICLISMO)BMX WORLD CUP INGLATERRA
13048502;(CICLISMO)BMX CONCENTRADO ARGENTINA
13048701;GIMNASIA ARTISTICA FEMENINA ALEMANIA /FRANCIA
13049001;(GIMNASIA) HEAD COACH 2013
13049301;(REMO) APOYO DEPORTISTAS 2013
13049901;PATIN CARRERA CONCENTRADO SANTIAGO
13049902;PATIN CARRERA MEDELLIN COLOMBIA
13049903;PATIN CARRERA VENEZUELA
