1-00-00-000  ACTIVO;1-00-00-000;ACTIVO;;;;
1-01-00-000  ACTIVO CORRIENTE;1-01-00-000;ACTIVO CORRIENTE;;;;
1-01-01-000  CAJAS;1-01-01-000;CAJAS;;;;
1-01-01-001  Caja Chica;1-01-01-001;Caja Chica;Activo Corriente;;Activo Circulante;Caja
1-01-01-002  Caja Moneda Dlares;1-01-01-002;Caja Moneda Dlares;Activo Corriente;;Activo Circulante;Caja
1-01-01-003  Caja Moneda Euros;1-01-01-003;Caja Moneda Euros;Activo Corriente;;Activo Circulante;Caja
1-01-01-004  Caja Otras Monedas;1-01-01-004;Caja Otras Monedas;Activo Corriente;;Activo Circulante;Caja
1-01-01-005  Caja Moneda US$ hasta 21-07-2016;1-01-01-005;Caja Moneda US$ hasta 21-07-2016;Activo Corriente;;Activo Circulante;Caja
1-01-01-006  Caja Moneda Dolares;1-01-01-006;Caja Moneda Dolares;Activo Corriente;;Activo Circulante;Caja
1-01-01-007  Caja Moneda   hasta 21-07-2016;1-01-01-007;Caja Moneda   hasta 21-07-2016;Activo Corriente;;Activo Circulante;Caja
1-01-01-008  Caja Euros;1-01-01-008;Caja Euros;Activo Corriente;;Activo Circulante;Caja
1-01-02-000  BANCOS;1-01-02-000;BANCOS;;;;
1-01-02-001  Banco Chile Dolares 5-886-00417-03;1-01-02-001;Banco Chile Dolares 5-886-00417-03;Activo Corriente;PROPIOS;Activo Circulante;Banco
1-01-02-002  Banco Chile Pesos 886-00940-05 TEAM CHILE;1-01-02-002;Banco Chile Pesos 886-00940-05 TEAM CHILE;Activo Corriente;PROPIOS;Activo Circulante;Banco
1-01-02-003  Banco Chile Pesos 886-00274-05 Administracion;1-01-02-003;Banco Chile Pesos 886-00274-05 Administracion;Activo Corriente;PROPIOS;Activo Circulante;Banco
1-01-02-004  Banco Chile Pesos 886-00417-09 Donaciones;1-01-02-004;Banco Chile Pesos 886-00417-09 Donaciones;Activo Corriente;FISCALES;Activo Circulante;Banco
1-01-02-005  Banco Chile Pesos 886-00439-10 Fondos Propios;1-01-02-005;Banco Chile Pesos 886-00439-10 Fondos Propios;Activo Corriente;PROPIOS;Activo Circulante;Banco
1-01-02-006  Banco Chile Pesos 886-00440-03 Fondos Fiscales;1-01-02-006;Banco Chile Pesos 886-00440-03 Fondos Fiscales;Activo Corriente;FISCALES;Activo Circulante;Banco
1-01-02-007  Banco Internacional 67042319916;1-01-02-007;Banco Internacional 67042319916;Activo Corriente;FISCALES;Activo Circulante;Banco
1-01-03-000  INVERSIONES;1-01-03-000;INVERSIONES;;;;
1-01-03-001  Depositos a Plazo;1-01-03-001;Depositos a Plazo;Activo Corriente;PROPIOS;Activo Circulante;Inversiones
1-01-04-000  CUENTAS POR COBRAR;1-01-04-000;CUENTAS POR COBRAR;;;;
